齅,嗅
嚊,嗅
獆,嗥
嘷,嗥
獋,嗥
噑,嗥
獔,嗥
唙,嘀
甞,嘗
瘶,嗽
嗍,嗽
叹,嘆
嗸,嗷
謮,嘖
哰,嘮
謿,嘲
嘘,噓
饐,噎
喯,噴
歕,噴
吩,噴
呠,噴
嘨,嘯
歗,嘯
譩,噫
当,噹
齽,噤
吨,噸
觜,嘴
咀,嘴
譟,噪
噐,器
唑,噬
齛,噬
吺,嚅
吓,嚇
哧,嚇
嚔,嚏
啑,嚏
向,嚮
咽,嚥
厳,嚴
噍,嚼
嚻,囂
讛,囈
嘱,囑
亖,四
皿,四
肆,四
囙,因
囘,回
囬,回
牎,囪
囱,囪
怘,固
圑,圃
圏,圈
囯,國
囻,國
圀,國
国,國
囶,國
戜,國
囲,圍
薗,園
园,園
円,圓
园,圓
圎,圓
団,團
园,團
啚,圖
圗,圖
図,圖
圡,土
士,土
坔,地
埊,地
嶳,地
埅,地
扗,在
珪,圭
杇,圬
埅,坊
阯,址
圴,均
袀,均
輡,坎
阫,坏
坯,坏
岥,坡
憻,坦
堃,坤
巛,坤
烢,坼
埀,垂
坓,型
圻,垠
垦,垠
坸,垢
薶,埋
垩,堊
垖,堆
塠,堆
壀,埤
踑,基
坣,堂
隚,堂
执,執
秇,執
垺,培
垚,堯
塲,場
埞,堤
隄,堤
隁,堰
墕,堰
报,報
堢,堡
塐,塑
涂,塗
嵞,塗
塜,塚
墖,塔
塡,填
凷,塊
块,塊
墤,塊
隖,塢
埡,塢
嵨,塢
还,塢
尘,塵
埝,墊
壍,塹
増,增
隫,墳
坟,墳
坆,墳
礈,墜
陊,墮
隓,墮
垦,墾
压,壓
圧,壓
垒,壘
壨,壘
畾,壘
壊,壞
坯,壞
坏,壞
壠,壟
垻,壩
埧,壩
土,士
王,壬
壮,壯
壵,壯
牡,壯
扗,壯
夁,壹
壱,壹
壷,壺
寿,壽
夓,夏
昰,夏
夘,外
夛,多
亱,夜
够,夠
伙,夥
梦,夢
夣,夢
亣,大
兲,天
靝,天
夳,太
竒,奇
犇,奔
逩,奔
奓,奢
奥,奧
敓,奪
匲,奩
匳,奩
籢,奩
奋,奮
仅,奴
姧,奸
妑,妃
婓,妃
妆,妝
娤,妝
粧,妝
糚,妝
籹,妝
妬,妒
姤,妒
玅,妙
姸,妍
蔅,妍
伃,妤
姼,妓
姙,妊
娒,姆
她,姐
媎,姐
毑,姐
姗,姍
乨,始
兘,始
姉,姊
娰,姒
姕,姿
妷,姪
侄,姪
姧,姦
婣,姻
姢,娟
娱,娛
娯,娛
姫,姬
姖,姬
娄,婁
媍,婦
妸,婀
娿,婀
壻,婿
聟,婿
愱,嫉
媪,媼
嫰,嫩
媆,嫩
闝,嫖
嫺,嫻
婵,嬋
娬,嫵
孆,嬰
孾,嬰
娦,嬪
嬷,嬤
侟,存
姟,孩
孶,孳
斈,學
学,學
斅,學
孼,孽
孪,孿
佗,它
穻,宇
垨,守
垞,宅
侒,安
皃,完
冝,宜
宐,宜
惌,宛
宊,家
宫,宮
冦,寇
宼,寇
窛,寇
宻,密
冨,富
庽,寓
寍,寧
寕,寧
寜,寧
宁,寧
廫,寥
实,實
実,實
宲,實
砦,寨
寝,寢
寑,寢
窹,寤
詧,察
竂,寮
寛,寬
宷,審
讅,審
写,寫
宝,寶
寚,寶
寳,寶
珤,寶
宲,寶
叞,尉
叀,專
将,將
僔,尊
对,對
対,對
尐,少
尙,尚
怣,尤
魀,尬
魐,尷
凲,尷
尶,尷
凥,居
届,屆
屛,屏
幈,屏
尸,屍
屉,屜
屟,屜
屡,屢
属,屬
阣,屹
埁,岑
崏,岷
渂,岷
崗,岡
罡,岡
冈,岡
堽,岡
垾,岸
屽,岸
倵,岱
崻,峙
陗,峭
峡,峽
硤,峽
埈,峻
陖,峻
峩,峨
峯,峰
嶹,島
隝,島
嶋,島
嶌,島
隯,島
崈,崇
崫,崛
厓,崖
崕,崖
峥,崢
崝,崢
崐,崑
嵟,崔
崘,崙
崧,嵩
嶃,嶄
岴,嶇
阾,嶺
岭,嶺
岳,嶽
嵮,巔
巓,巔
峦,巒
巌,巖
巗,巖
岩,巖
嵒,巖
嵓,巖
礹,巖
巛,川
刕,州
巣,巢
荖,差
衖,巷
閧,巷
鬨,巷
巺,巽
顨,巽
忛,帆
箒,帚
帞,帕
絈,帕
絔,帕
伖,帑
廗,席
师,師
帯,帶
愊,幅
冃,帽
幁,幀
币,幣
簂,幗
旘,幟
幚,幫
帮,幫
幇,幫
縍,幫
幷,并
秊,年
羍,幸
干,幹
糼,幼
糿,幼
几,幾
牀,床
痁,店
厎,底
庻,庶
蓭,庵
广,庵
厠,廁
亷,廉
槏,廉
厦,廈
廃,廢
厨,廚
庿,廟
庙,廟
庴,廟
厮,廝
広,廣
广,廣
厰,廠
厂,廠
龎,龐
庐,廬
廰,廳
庁,廳
庍,廳
卄,廿
廾,廿
挊,弄
挵,弄
卡,弄
拤,弄
獘,弊
弑,弒
吊,弔
弡,張
强,強
彊,強
弻,弼
别,彆
弹,彈
弾,彈
弥,彌
弯,彎
篲,彗
彚,彙
彛,彝
彞,彝
彦,彥
斌,彬
份,彬
雕,彫
景,影
伇,役
迬,往
徃,往
徍,往
住,往
徰,征
佂,征
泟,征
佊,彼
佪,徊
侓,律
伨,徇
狥,徇
侚,徇
迧,徇
后,後
径,徑
逕,徑
俓,徑
俆,徐
淂,得
从,從
従,從
苁,從
俳,徘
馭,御
偱,循
惪,德
徳,德
恴,德
悳,德
徴,徵
征,徵
幑,徽
恾,忙
坖,忌
愖,忱
悥,念
悑,怖
恠,怪
恖,思
惌,怨
悢,恨
烣,恢
恒,恆
恿,恫
愙,恪
愘,恪
恓,恤
耻,恥
忢,悟
愯,悚
猂,悍
恱,悅
悦,悅
愂,悖
誖,悖
哱,悖
怫,悖
慂,恿
怸,悉
忰,悴
顇,悴
惖,惕
悐,惕
痵,悸
僫,惡
悪,惡
悱,悲
僡,惠
恵,惠
悏,愜
楞,愣
憜,惰
媠,惰
惚,惱
恼,惱
悩,惱
愡,惱
悥,意
愼,慎
昚,慎
眘,慎
怳,慌
愠,慍
忾,愾
媿,愧
謉,愧
忼,慷
遦,慣
摜,慣
憅,慟
慙,慚
憯,慘
惨,慘
懆,慘
虑,慮
忧,憂
慽,慼
偅,憧
怜,憐
惮,憚
譂,憚
顦,憔
癄,憔
凭,憑
凴,憑
慿,憑
憇,憩
譍,應
噟,應
応,應
恳,懇
貇,懇
愞,懦
懧,懦
